epoch,global_step,step,tmp_loss,tmp_ppl,mean_loss,mean_ppl,n_token_real,n_token_total,epoch_time
1,2,2,2.7716827392578125,15.091211318969727,2.7716827392578125,15.091211318969727,2050,2288,0.7029705047607422
1,3,3,2.7329835891723633,15.364995956420898,2.752333164215088,15.228103637695312,4610,4848,0.9633567333221436
1,4,4,2.453662395477295,10.634217262268066,2.6527762413024902,13.696808179219564,5606,6000,1.1670551300048828
1,5,5,2.5917043685913086,13.35251235961914,2.637508273124695,13.610734224319458,8166,8560,1.409862995147705
1,6,6,2.6679110527038574,14.409829139709473,2.643588829040527,13.77055320739746,10726,11120,1.6445279121398926
1,7,7,2.4528939723968506,11.58104133605957,2.611806352933248,13.405634562174479,13286,13680,1.8780841827392578
1,8,8,2.5772316455841064,13.110933303833008,2.606867109026228,13.363534382411412,15846,16240,2.116072416305542
1,9,9,2.6159706115722656,18.55038833618164,2.6080050468444824,14.01189112663269,18316,18800,2.372751235961914
1,10,10,2.7175416946411133,15.082071304321289,2.6201757854885526,14.130800035264757,20876,21360,2.6135544776916504
1,11,11,2.6227681636810303,13.7546968460083,2.6204350233078,14.093189716339111,23436,23920,2.857598066329956
1,12,12,2.6465749740600586,16.567846298217773,2.6228113824670967,14.318158496509898,24087,24704,3.0443873405456543
1,13,13,2.7902169227600098,15.945352554321289,2.6367618441581726,14.453758001327515,26635,27264,3.3062546253204346
1,14,14,2.5292208194732666,12.758356094360352,2.628489457643949,14.323342470022348,29191,29824,3.5432851314544678
1,15,15,2.734158754348755,15.396788597106934,2.6360372645514354,14.400017193385533,31751,32384,3.8100099563598633
1,16,16,2.510124921798706,12.306467056274414,2.62764310836792,14.260447184244791,34311,34944,4.043978929519653
1,17,17,2.4641008377075195,11.783894538879395,2.617421716451645,14.105662643909454,36842,37504,4.30830192565918
1,18,18,2.7936720848083496,16.34091567993164,2.62778938517851,14.237148116616641,39402,40064,4.56081485748291
1,19,19,2.4739177227020264,11.71155071258545,2.619240959485372,14.09683714972602,40452,41280,4.752190828323364
1,20,20,2.436229705810547,11.752399444580078,2.6096087882393286,13.973445691560444,41997,42992,4.981903553009033
1,21,21,2.758242607116699,15.806439399719238,2.617040479183197,14.065095376968383,44557,45552,5.221984148025513
1,22,22,2.4602489471435547,11.954938888549805,2.6095742157527377,13.964611734662737,47098,48112,5.483170747756958
1,23,23,2.4040443897247314,11.247437477111816,2.600231950933283,13.841103813864969,49651,50672,5.739433765411377
1,24,24,2.4612576961517334,11.719538688659668,2.5941895920297373,13.74886185189952,52211,53232,5.974262714385986
1,25,25,2.59591007232666,12.932393074035645,2.594261278708776,13.714842319488525,53004,54208,6.166272401809692
1,26,26,2.8309128284454346,16.9609375,2.603727340698242,13.844686126708984,55564,56768,6.425900220870972
1,27,27,2.7240102291107178,15.194258689880371,2.6083536056371837,13.896592763754038,58102,59328,6.687609672546387
1,28,28,2.4861721992492676,10.560103416442871,2.603828368363557,13.773019084223995,59898,61344,6.9259819984436035
1,29,29,2.4273033142089844,11.374473571777344,2.597523902143751,13.687356744493757,62458,63904,7.159886598587036
1,30,30,2.41068696975708,11.20458698272705,2.5910812493028312,13.60174399408801,65013,66464,7.414996147155762
1,31,31,2.2764892578125,9.401511192321777,2.580594849586487,13.461736234029134,65544,67120,7.590628385543823
1,32,32,2.598858594894409,13.469568252563477,2.581184002660936,13.461988879788306,68098,69680,7.852617263793945
1,33,33,2.89790415763855,19.04241180419922,2.5910815075039864,13.636377096176147,70641,72240,8.099334955215454
1,34,34,2.7488670349121094,15.631669998168945,2.5958628871224145,13.696840517448656,73198,74800,8.336168050765991
1,35,35,2.5655298233032227,12.860886573791504,2.594970738186556,13.672253636752858,75752,77360,8.589741230010986
1,36,36,2.6445698738098145,14.077387809753418,2.5963878563472202,13.683828898838588,78312,79920,8.852228879928589
1,37,37,2.5819897651672363,14.361708641052246,2.5959879093699985,13.702658891677856,80296,82144,9.101221799850464
1,38,38,2.34629225730896,10.233497619628906,2.5892393782332137,13.608897776217074,82842,84704,9.352548599243164
1,39,39,2.856769323348999,17.405200958251953,2.596279639946787,13.70880049153378,85402,87264,9.604121446609497
1,40,40,1.8243634700775146,7.089930057525635,2.5764869176424465,13.539085865020752,85554,87552,9.754304647445679
1,41,41,2.4783804416656494,11.799894332885742,2.574034255743027,13.495606076717376,88105,90112,9.99439024925232
1,42,42,2.5219650268554688,18.187862396240234,2.5727642745506474,13.6100513528033,90412,92672,10.252357244491577
1,43,43,2.257096767425537,8.320661544799805,2.565248381523859,13.48411350023179,91202,93664,10.443578481674194
1,44,44,2.9012949466705322,18.540325164794922,2.5730634179226186,13.601699818012326,93756,96224,10.676285743713379
1,45,45,2.5130350589752197,12.580588340759277,2.5716991370374505,13.578492738983847,96304,98784,10.927949666976929
1,46,46,2.4622325897216797,10.415020942687988,2.5692665470971003,13.50819336573283,97165,99920,11.12830114364624
1,47,47,2.549412965774536,12.654779434204102,2.5688349475031313,13.489640888960466,99714,102480,11.389929294586182
1,48,48,3.358224868774414,29.79617691040039,2.5856304777429457,13.836588463884718,102167,105040,11.632964611053467
1,49,49,2.932879686355591,18.78163719177246,2.592864836255709,13.93961031238238,104727,107600,11.896435499191284
1,50,50,2.277604818344116,8.9306001663208,2.5864309583391463,13.837385615523981,105376,108448,12.081946849822998
1,51,51,2.455737352371216,12.09039306640625,2.5838170862197876,13.802445764541625,106845,110080,12.30375051498413
1,52,52,2.8575832843780518,15.949599266052246,2.5891850508895575,13.844546813590854,109356,112640,12.538349151611328
1,53,53,2.7738335132598877,16.01615333557129,2.5927359828582177,13.886308477475094,111916,115200,12.767151117324829
1,54,54,2.591022491455078,13.372688293457031,2.5927036528317435,13.876617530606827,114474,117760,12.985434770584106
1,55,55,2.4721102714538574,11.840133666992188,2.5904704420654863,13.838904866465816,117031,120320,13.19574236869812
1,56,56,2.5855820178985596,13.536672592163086,2.5903815616260877,13.833409734205766,118864,122368,13.409226417541504
1,57,57,2.567408561706543,11.181534767150879,2.589971329484667,13.786054824079786,120264,124112,13.609228134155273
1,58,58,2.5042591094970703,12.176382064819336,2.58846760632699,13.757814951110305,122824,126672,13.827333688735962
1,59,59,2.3844826221466064,9.956575393676758,2.584950623841121,13.692276338051105,125362,129232,14.057670593261719
1,60,60,2.006220817565918,7.56163215637207,2.575141644073745,13.588367114632817,125655,129664,14.193620443344116
1,61,61,2.24983549118042,9.486175537109375,2.569719874858856,13.519997255007427,128215,132224,14.40512228012085
1,62,62,2.6520845890045166,13.544294357299805,2.5710701160743588,13.52039556815976,128449,132544,14.529026746749878
1,63,63,2.0799031257629395,7.201704978942871,2.5631480678435294,13.418481203817553,128975,133248,14.676270246505737
1,64,64,2.8545048236846924,17.365833282470703,2.5677727782537065,13.481137586018395,131535,135808,14.911468267440796
1,65,65,2.3619422912597656,9.39840030670166,2.5645566768944263,13.417344816029072,133695,138224,15.1435067653656
1,66,66,2.4750733375549316,10.991416931152344,2.563180010135357,13.38002284856943,136223,140784,15.378390550613403
1,67,67,2.3184940814971924,10.210372924804688,2.5594726475802334,13.331997849724509,138783,143344,15.580847978591919
1,68,68,2.778888463973999,16.101118087768555,2.5627475105114836,13.373328002531137,141343,145904,15.813619613647461
1,69,69,1.7056210041046143,5.6460771560668945,2.5501427089466766,13.259691960671368,141578,146256,15.94512677192688
1,70,70,2.5135653018951416,12.204106330871582,2.549612601598104,13.244393618210502,144120,148816,16.167959451675415
1,71,71,2.303626298904419,9.928095817565918,2.5460985115596224,13.197017935344151,146672,151376,16.392292022705078
1,72,72,2.2486157417297363,9.474611282348633,2.5419086133930047,13.144589672625905,149232,153936,16.609574556350708
1,73,73,2.3609421253204346,10.578335762023926,2.539395189947552,13.108947257200876,151792,156496,16.822348833084106
1,74,74,2.346970796585083,8.26109790802002,2.536759239353546,13.042538362006619,154276,159056,17.062159538269043
1,75,75,2.9051406383514404,18.267812728881836,2.541737366367031,13.113150177775202,156836,161616,17.3009250164032
1,76,76,2.429266929626465,11.350558280944824,2.5402377605438233,13.089648952484131,159396,164176,17.509665966033936
1,77,77,2.5668647289276123,13.05892562866211,2.540588115390978,13.089244698223315,161953,166736,17.747620105743408
1,78,78,2.406716823577881,11.176129341125488,2.5388495271856133,13.064399044235032,164510,169296,17.965261697769165
1,79,79,2.52118182182312,12.443296432495117,2.5386230181425047,13.056436190238365,167070,171856,18.179287910461426
1,80,80,2.6092545986175537,13.58891773223877,2.5395170887814293,13.063176462921914,169630,174416,18.384737014770508
